name;company;technology;job;location.city;location.country;salary.low;salary.high;salary.currency;salary;is_senior
business analyst/senior business analyst;SoftServe;;data analyst;zdalna;B/D;11000.0;21500.0;PLN;;0
power bi developer / data analyst;Objectivity;;data analyst;zdalna;B/D;14000.0;20000.0;PLN;;0
junior data analyst;Coinfirm;;data analyst;zdalna;B/D;3100.0;5000.0;PLN;;0
data analyst;Packhelp;;data analyst;warszawa;POL;13000.0;15000.0;PLN;;0
data analyst (analityk danych);Alterdata.io sp. z o.o.;;data analyst;zdalna;B/D;12000.0;18000.0;PLN;;0
junior application consultant;Syncron Sp. z o.o.;;data analyst;zdalna;B/D;5500.0;8300.0;PLN;;0
junior data analyst;Colliers Poland;;data analyst;warszawa;POL;8500.0;12000.0;PLN;;0
data business analyst (remote);Mindbox;;data analyst;zdalna;B/D;21000.0;25095.0;PLN;;0
data analyst - 100% remote;AVENGA;;data analyst;zdalna;B/D;18480.0;21840.0;PLN;;0
ux researcher;NOVOMATIC Technologies Poland S.A.;;data analyst;zdalna;B/D;10080.0;18970.0;PLN;;0
data analyst and developer;Schneider Electric;;data analyst;zdalna;B/D;16149.0;24234.0;PLN;;0
digital marketing business analyst;Elitmind;;data analyst;zdalna;B/D;14000.0;21000.0;PLN;;0
data analyst;Onelo S.A.;;data analyst;zdalna;B/D;13650.0;23100.0;PLN;;0
javascript developer;Sigma IT Polska;;data analyst;zdalna;B/D;20000.0;22340.0;PLN;;0
senior data analyst;Devire;;data analyst;zdalna;B/D;18000.0;24000.0;PLN;;1
data analyst - ml platform;FLYR Poland sp.z.o.o;;data analyst;kraków;POL;10000.0;16000.0;PLN;;0
junior data analyst;John Leggy;;data analyst;warszawa;POL;5000.0;7000.0;PLN;;0
business analyst;Link Group;;data analyst;zdalna;B/D;13440.0;25200.0;PLN;;0
data analyst;John Leggy;;data analyst;warszawa;POL;7000.0;12000.0;PLN;;0
product data analyst;Jamf;;data analyst;zdalna;B/D;6500.0;8500.0;PLN;;0
data analyst;Devire Sp. z o.o.;;data analyst;warszawa;POL;10000.0;20000.0;PLN;;0
product data analyst;No Fluff Jobs;;data analyst;zdalna;B/D;12000.0;18000.0;PLN;;0
ui designer;HL Tech;;data analyst;zdalna;B/D;8000.0;11000.0;PLN;;0
data analyst (private equity);Devire;;data analyst;warszawa;POL;12000.0;18000.0;PLN;;0
sales development representative;Netguru;;data analyst;zdalna;B/D;5000.0;7600.0;PLN;;0
data analyst;BlueSoft Sp. z o.o.;;data analyst;zdalna;B/D;15120.0;21840.0;PLN;;0
senior product designer;Netguru;;data analyst;zdalna;B/D;16800.0;24500.0;PLN;;1
data analyst;Secret Sauce Partners, Inc.;;data analyst;zdalna;B/D;8799.0;17598.0;PLN;;0
data engineer;Link Group;;data engineer;zdalna;B/D;19169.0;31150.0;PLN;;0
data warehouse engineer;Zonda Exchange;;data engineer;zdalna;B/D;17000.0;32000.0;PLN;;0
lead data engineer  (remote);Mindbox;;data engineer;zdalna;B/D;29400.0;32550.0;PLN;;0
data engineer;STX Next;;data engineer;zdalna;B/D;16800.0;25200.0;PLN;;0
azure data engineer with pyspark;Lingaro;;data engineer;zdalna;B/D;26880.0;30240.0;PLN;;0
data engineer (sql, python, cloud);Alterdata.io sp. z o.o.;;data engineer;zdalna;B/D;14000.0;22000.0;PLN;;0
remote senior aws data engineer;ClearScale;;data engineer;zdalna;B/D;28000.0;38000.0;PLN;;0
dwh/big data engineer;Sii Polska;;data engineer;zdalna;B/D;21000.0;26250.0;PLN;;0
senior data analytics engineer;Coforge;;data engineer;zdalna;B/D;46200.0;46200.0;PLN;;1
middle/senior data engineer (python);Provectus;;data engineer;zdalna;B/D;10923.0;21847.0;PLN;;0
senior scala big data engineer;Altimetrik Poland;;data engineer;zdalna;B/D;20000.0;28000.0;PLN;;1
senior data engineer;Coople;;data engineer;zdalna;B/D;18000.0;33000.0;PLN;;1
data engineer;GetInData;;data engineer;zdalna;B/D;20160.0;30240.0;PLN;;0
data engineer;GetInData;;data engineer;zdalna;B/D;20160.0;30240.0;PLN;;0
data scientist / ml engineer;SpyroSoft;;data engineer;wroclaw;"POL
 + 4";18480.0;21840.0;PLN;;0
data engineer;Devire;;data engineer;zdalna;B/D;13440.0;18480.0;PLN;;0
remote data science engineer;apreel Sp. z o.o.;;data engineer;zdalna;B/D;20160.0;28560.0;PLN;;0
data engineer;Shiji Poland;;data engineer;zdalna;B/D;15000.0;20000.0;PLN;;0
data engineer;Sollers Consulting;;data engineer;warszawa;"POL
 + 8";13000.0;18000.0;PLN;;0
bi developer / data engineer;Objectivity;;data engineer;zdalna;B/D;17600.0;25000.0;PLN;;0
data engineer with python;Lingaro;;data engineer;zdalna;B/D;13440.0;20160.0;PLN;;0
junior data engineer;FOTC;;data engineer;zdalna;B/D;5500.0;7500.0;PLN;;0
sql data engineer;Onelo S.A.;;data engineer;zdalna;B/D;13650.0;16800.0;PLN;;0
mid python data engineer;Acaisoft Poland Sp. z.o.o;;data engineer;zdalna;B/D;12000.0;19000.0;PLN;;0
azure data engineer;Alterdata.io sp. z o.o.;;data engineer;zdalna;B/D;14000.0;22000.0;PLN;;0
lead operational data engineer;Link Group Sp. z o. o.;;data engineer;zdalna;B/D;30240.0;33600.0;PLN;;0
senior operational data engineer;Link Group Sp. z o. o.;;data engineer;zdalna;B/D;25200.0;30240.0;PLN;;1
data engineer;esky.pl S.A.;;data engineer;zdalna;B/D;11000.0;14000.0;PLN;;0
operational data engineer;Link Group Sp. z o. o.;;data engineer;zdalna;B/D;20160.0;23520.0;PLN;;0
big data engineer;Allegro;;data engineer;poznań;"POL
 + 4";12500.0;17000.0;PLN;;0
senior big data engineer;Allegro;;data engineer;poznań;"POL
 + 4";16500.0;22500.0;PLN;;1
data engineer;Surfer;;data engineer;zdalna;B/D;15000.0;30000.0;PLN;;0
data engineer;Orange Polska;;data engineer;warszawa;POL;9000.0;18000.0;PLN;;0
etl data engineer-professional;AVENGA;;data engineer;zdalna;B/D;16464.0;16800.0;PLN;;0
remote big data software engineer;SoftServe;;data engineer;zdalna;B/D;16000.0;24000.0;PLN;;0
senior data & energy engineer;IIIT;;data engineer;zdalna;B/D;25000.0;34000.0;PLN;;1
data engineer/ sql developer;CBRE Business Services Organisation;;data engineer;zdalna;B/D;17000.0;23000.0;PLN;;0
python data engineer;Placeise;;data engineer;kraków;POL;17000.0;21000.0;PLN;;0
mlops / data science engineer;Volue;;data engineer;gdańsk;POL;18500.0;23500.0;PLN;;0
regular/senior cloud data engineer;IHS Markit;;data engineer;zdalna;B/D;13000.0;19000.0;PLN;;0
data engineer - technical leader;Acaisoft Poland Sp. z.o.o;;data engineer;zdalna;B/D;27000.0;35000.0;PLN;;0
senior/expert data engineer;Acaisoft Poland Sp. z.o.o;;data engineer;zdalna;B/D;20000.0;33000.0;PLN;;1
data engineer - technical leader;Acaisoft Poland Sp. z.o.o;;data engineer;zdalna;B/D;27000.0;35000.0;PLN;;0
backend engineer - data platform;Sumo Logic;;data engineer;zdalna;B/D;20000.0;28000.0;PLN;;0
data engineer;AXA Avanssur SA Spółka Akcyjna Oddział II  Polsce;;data engineer;zdalna;B/D;17000.0;29000.0;PLN;;0
senior data engineer (data science);BlackSan Technologies;;data engineer;zdalna;B/D;18000.0;26000.0;PLN;;1
senior big data engineer;Devire;;data engineer;zdalna;B/D;26000.0;32000.0;PLN;;1
junior data engineer;Business Reporting - Advisory Group (BRAG);;data engineer;zdalna;B/D;7500.0;10000.0;PLN;;0
data quality engineer;Devire;;data engineer;zdalna;B/D;20000.0;20000.0;PLN;;0
mid / senior cloud data engineer;Capgemini;;data engineer;krakow;"POL
 + 4";13000.0;20000.0;PLN;;0
senior data engineer (data science hub);Allegro;;data engineer;warszawa;"POL
 + 8";16500.0;22500.0;PLN;;1
mid data engineer (etl /aws /snowflake);Svitla Systems, Inc.;;data engineer;zdalna;B/D;15292.0;24031.0;PLN;;0
python engineer (retraining to big data);SoftServe Poland;;data engineer;zdalna;B/D;13000.0;23000.0;PLN;;0
data engineer-professional;AVENGA;;data engineer;zdalna;B/D;16464.0;16800.0;PLN;;0
bi data engineer;Link Group;;data engineer;zdalna;B/D;15120.0;18480.0;PLN;;0
data engineer (data science hub);Allegro;;data engineer;warszawa;"POL
 + 8";12500.0;17000.0;PLN;;0
it data engineer;B. Braun Business Services Poland;;data engineer;poznań;"POL
 + 1";5000.0;7500.0;PLN;;0
azure data engineer;Onelo S.A.;;data engineer;zdalna;B/D;13650.0;23100.0;PLN;;0
data engineer;Insight (Division of nexergroup.com);;data engineer;zdalna;B/D;16000.0;26200.0;PLN;;0
data engineer;Devire;;data engineer;zdalna;B/D;16000.0;20000.0;PLN;;0
